(23, 35, 0)
(30, 77, 1)
(90, 26, 3)
(89, 87, 2)
(39, 35, 0)
(31, 83, 1)
(81, 26, 3)
(76, 77, 2)
(40, 35, 0)
(29, 88, 1)
(71, 33, 3)
(85, 73, 2)
(22, 30, 0)
(32, 79, 1)
(80, 25, 3)
(77, 75, 2)
(30, 38, 0)
(40, 70, 1)
(73, 37, 3)
(89, 78, 2)
(40, 29, 0)
(21, 79, 1)
(70, 20, 3)
(86, 84, 2)
(39, 39, 0)
(40, 70, 1)
(84, 36, 3)
(73, 75, 2)
(29, 20, 0)
(20, 84, 1)
(77, 35, 3)
(87, 73, 2)
(40, 36, 0)
(31, 82, 1)
(84, 29, 3)
(78, 74, 2)
(29, 32, 0)
(24, 73, 1)
(82, 20, 3)
(80, 78, 2)
(26, 29, 0)
(26, 73, 1)
(72, 20, 3)
(87, 75, 2)
(25, 20, 0)
(39, 88, 1)
(89, 31, 3)
(76, 71, 2)
(34, 32, 0)
(37, 89, 1)
(77, 38, 3)
(82, 76, 2)
(33, 39, 0)
(33, 85, 1)
(72, 29, 3)
(85, 80, 2)
(36, 27, 0)
(38, 75, 1)
(77, 30, 3)
(88, 70, 2)
(33, 36, 0)
(20, 72, 1)
(88, 23, 3)
(82, 80, 2)
(31, 26, 0)
(22, 71, 1)
(81, 25, 3)
(87, 80, 2)
(38, 40, 0)
(35, 82, 1)
(85, 24, 3)
(90, 81, 2)
(20, 30, 0)
(37, 88, 1)
(72, 20, 3)
(84, 87, 2)
(30, 35, 0)
(33, 72, 1)
(75, 30, 3)
(72, 83, 2)
(31, 20, 0)
(28, 74, 1)
(71, 20, 3)
(70, 77, 2)
(29, 20, 0)
(29, 77, 1)
(80, 23, 3)
(84, 70, 2)
(32, 39, 0)
(39, 72, 1)
(80, 38, 3)
(87, 77, 2)
(40, 39, 0)
(38, 90, 1)
(86, 30, 3)
(82, 87, 2)
(25, 40, 0)
(29, 78, 1)
(73, 22, 3)
(79, 75, 2)
(29, 38, 0)
(24, 84, 1)
(82, 35, 3)
(84, 87, 2)
(35, 22, 0)
(38, 72, 1)
(83, 25, 3)
(78, 86, 2)
(30, 34, 0)
(32, 88, 1)
(85, 24, 3)
(71, 84, 2)
(26, 37, 0)
(21, 77, 1)
(84, 26, 3)
(82, 77, 2)
(20, 32, 0)
(39, 73, 1)
(81, 38, 3)
(87, 71, 2)
