(23, 35)
(30, 77)
(90, 26)
(89, 87)
(39, 35)
(31, 83)
(81, 26)
(76, 77)
(40, 35)
(29, 88)
(71, 33)
(85, 73)
(22, 30)
(32, 79)
(80, 25)
(77, 75)
(30, 38)
(40, 70)
(73, 37)
(89, 78)
(40, 29)
(21, 79)
(70, 20)
(86, 84)
(39, 39)
(40, 70)
(84, 36)
(73, 75)
(29, 20)
(20, 84)
(77, 35)
(87, 73)
(40, 36)
(31, 82)
(84, 29)
(78, 74)
(29, 32)
(24, 73)
(82, 20)
(80, 78)
(26, 29)
(26, 73)
(72, 20)
(87, 75)
(25, 20)
(39, 88)
(89, 31)
(76, 71)
(34, 32)
(37, 89)
(77, 38)
(82, 76)
(33, 39)
(33, 85)
(72, 29)
(85, 80)
(36, 27)
(38, 75)
(77, 30)
(88, 70)
(33, 36)
(20, 72)
(88, 23)
(82, 80)
(31, 26)
(22, 71)
(81, 25)
(87, 80)
(38, 40)
(35, 82)
(85, 24)
(90, 81)
(20, 30)
(37, 88)
(72, 20)
(84, 87)
(30, 35)
(33, 72)
(75, 30)
(72, 83)
(31, 20)
(28, 74)
(71, 20)
(70, 77)
(29, 20)
(29, 77)
(80, 23)
(84, 70)
(32, 39)
(39, 72)
(80, 38)
(87, 77)
(40, 39)
(38, 90)
(86, 30)
(82, 87)
(25, 40)
(29, 78)
(73, 22)
(79, 75)
(29, 38)
(24, 84)
(82, 35)
(84, 87)
(35, 22)
(38, 72)
(83, 25)
(78, 86)
(30, 34)
(32, 88)
(85, 24)
(71, 84)
(26, 37)
(21, 77)
(84, 26)
(82, 77)
(20, 32)
(39, 73)
(81, 38)
(87, 71)
